Date,Close,High,Low,Open,Source,Symbol
2025-03-29,84359.0,88430.0,83609.0,87483.0,Coingecko,BITCOIN
2025-04-02,85238.0,85438.0,81362.0,84333.0,Coingecko,BITCOIN
2025-04-06,83596.0,87791.0,81333.0,85151.0,Coingecko,BITCOIN
2025-04-10,82622.0,83668.0,74604.0,83514.0,Coingecko,BITCOIN
2025-04-14,83601.0,85732.0,78669.0,82595.0,Coingecko,BITCOIN
2025-04-18,84931.0,86186.0,83219.0,83637.0,Coingecko,BITCOIN
2025-04-22,87452.0,88260.0,84038.0,84940.0,Coingecko,BITCOIN
2025-04-26,94773.0,95564.0,87366.0,87501.0,Coingecko,BITCOIN
2025-04-30,94256.0,95491.0,92953.0,94739.0,Coingecko,BITCOIN
2025-05-04,95923.0,97822.0,93334.0,94275.0,Coingecko,BITCOIN
2025-05-08,97026.0,97512.0,93592.0,95893.0,Coingecko,BITCOIN
2025-05-12,103994.0,104841.0,96965.0,97036.0,Coingecko,BITCOIN
2025-05-16,103709.0,105503.0,101109.0,104083.0,Coingecko,BITCOIN
2025-05-20,105629.0,106518.0,102381.0,103749.0,Coingecko,BITCOIN
2025-05-24,107217.0,111814.0,104386.0,105614.0,Coingecko,BITCOIN
2025-05-28,109068.0,110407.0,106802.0,107156.0,Coingecko,BITCOIN
2025-06-01,104688.0,109104.0,103296.0,109010.0,Coingecko,BITCOIN
2025-06-05,104813.0,106807.0,103939.0,104686.0,Coingecko,BITCOIN
2025-06-09,105692.0,106365.0,100783.0,104803.0,Coingecko,BITCOIN
2025-06-13,105979.0,110282.0,105426.0,105724.0,Coingecko,BITCOIN
2025-06-17,106951.0,108785.0,103081.0,105898.0,Coingecko,BITCOIN
2025-06-21,103290.0,107644.0,102624.0,106842.0,Coingecko,BITCOIN
2025-06-25,105976.0,106129.0,98467.0,103292.0,Coingecko,BITCOIN
2025-06-29,107332.0,108116.0,105985.0,106036.0,Coingecko,BITCOIN
2025-07-03,108824.0,109608.0,105402.0,107333.0,Coingecko,BITCOIN
2025-07-07,109215.0,110386.0,107386.0,108876.0,Coingecko,BITCOIN
2025-07-11,115880.0,116462.0,107591.0,109222.0,Coingecko,BITCOIN
2025-07-15,119834.0,122838.0,115548.0,115961.0,Coingecko,BITCOIN
2025-07-19,117989.0,120689.0,116094.0,119849.0,Coingecko,BITCOIN
2025-07-23,119956.0,120222.0,116779.0,118003.0,Coingecko,BITCOIN
2025-07-27,117960.0,119959.0,115086.0,119959.0,Coingecko,BITCOIN
2025-07-31,117833.0,119754.0,116079.0,117906.0,Coingecko,BITCOIN
2025-08-04,114199.0,118865.0,112113.0,117828.0,Coingecko,BITCOIN
2025-08-08,117463.0,117596.0,112770.0,114235.0,Coingecko,BITCOIN
2025-08-12,118774.0,122227.0,115979.0,117483.0,Coingecko,BITCOIN
2025-08-16,117340.0,124128.0,116956.0,118727.0,Coingecko,BITCOIN
2025-08-20,112778.0,118514.0,112778.0,117397.0,Coingecko,BITCOIN
2025-08-24,115360.0,117310.0,111764.0,112896.0,Coingecko,BITCOIN
2025-08-28,111216.0,115549.0,109214.0,115333.0,Coingecko,BITCOIN
2025-09-01,108253.0,113329.0,107682.0,111241.0,Coingecko,BITCOIN
2025-09-05,110725.0,112502.0,107295.0,108226.0,Coingecko,BITCOIN
2025-09-09,112025.0,113225.0,110032.0,110752.0,Coingecko,BITCOIN
2025-09-13,116160.0,116705.0,110822.0,112080.0,Coingecko,BITCOIN
2025-09-17,116763.0,116970.0,114509.0,116092.0,Coingecko,BITCOIN
2025-09-21,115716.0,117888.0,114940.0,116797.0,Coingecko,BITCOIN
2025-09-25,113321.0,115858.0,111369.0,115723.0,Coingecko,BITCOIN
2025-09-29,112143.0,113492.0,108776.0,113317.0,Coingecko,BITCOIN
2025-10-03,120612.0,121044.0,111599.0,112179.0,Coingecko,BITCOIN
2025-10-07,124774.0,126080.0,119514.0,120515.0,Coingecko,BITCOIN
2025-10-11,113202.0,125108.0,105896.0,124740.0,Coingecko,BITCOIN
2025-10-15,113157.0,115934.0,109862.0,113044.0,Coingecko,BITCOIN
2025-10-19,107156.0,113527.0,103856.0,113066.0,Coingecko,BITCOIN
2025-10-23,107618.0,113804.0,106222.0,107210.0,Coingecko,BITCOIN
2025-10-27,114476.0,114816.0,107581.0,107591.0,Coingecko,BITCOIN
2025-10-31,108241.0,116041.0,106464.0,114419.0,Coingecko,BITCOIN
