Date,Open,High,Low,Close,Volume,Currency,Source,Symbol
2020-02-06,203.84,216.14,201.29,213.16,16439119,USD,Investing.com,ETHEREUM
2020-02-07,213.15,224.53,213.14,223.51,16729525,USD,Investing.com,ETHEREUM
2020-02-08,223.47,227.55,213.75,223.23,15975290,USD,Investing.com,ETHEREUM
2020-02-09,223.23,230.38,223.07,228.59,14277238,USD,Investing.com,ETHEREUM
2020-02-10,228.61,229.28,217.02,222.95,16499497,USD,Investing.com,ETHEREUM
2020-02-11,222.94,238.61,218.22,236.76,17387184,USD,Investing.com,ETHEREUM
2020-02-12,236.75,274.89,236.73,265.58,23793572,USD,Investing.com,ETHEREUM
2020-02-13,265.59,277.39,257.09,268.75,25054392,USD,Investing.com,ETHEREUM
2020-02-14,268.71,286.34,260.78,285.25,19994642,USD,Investing.com,ETHEREUM
2020-02-15,285.17,287.93,262.45,264.87,22264888,USD,Investing.com,ETHEREUM
2020-02-16,264.87,273.81,237.89,259.99,24816296,USD,Investing.com,ETHEREUM
2020-02-17,259.92,268.45,242.11,267.63,25608550,USD,Investing.com,ETHEREUM
2020-02-18,267.71,285.59,259.3,282.26,24153052,USD,Investing.com,ETHEREUM
2020-02-19,282.33,285.75,253.88,259.12,20758464,USD,Investing.com,ETHEREUM
2020-02-20,259.07,264.22,246.46,257.39,22068590,USD,Investing.com,ETHEREUM
2020-02-21,257.32,267.8,254.15,265.11,17461464,USD,Investing.com,ETHEREUM
2020-02-22,265.14,266.71,256.97,261.64,13400667,USD,Investing.com,ETHEREUM
2020-02-23,261.65,275.3,261.24,274.72,16038563,USD,Investing.com,ETHEREUM
2020-02-24,274.72,276.81,258.15,265.65,19959710,USD,Investing.com,ETHEREUM
2020-02-25,265.63,266.17,245.75,246.96,20307448,USD,Investing.com,ETHEREUM
2020-02-26,246.97,250.05,216.39,224.3,29546656,USD,Investing.com,ETHEREUM
2020-02-27,224.3,238.07,210.36,227.53,28831272,USD,Investing.com,ETHEREUM
2020-02-28,227.6,234.55,214.47,226.93,24110494,USD,Investing.com,ETHEREUM
